order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,18,2,173.97,347.94
2,1,16,3,73.64,220.92
3,1,16,4,73.64,294.56
4,2,16,3,73.64,220.92
5,2,14,5,171.98,859.9
6,3,8,3,352.3,1056.9
7,3,2,3,427.19,1281.57
8,3,2,3,427.19,1281.57
9,4,3,4,387.65,1550.6
10,4,15,3,35.19,105.57
11,4,16,4,73.64,294.56
12,4,20,2,87.82,175.64
13,4,2,5,427.19,2135.95
14,5,13,4,394.63,1578.52
15,5,13,3,394.63,1183.89
16,6,2,5,427.19,2135.95
17,6,18,3,173.97,521.91
18,6,11,3,335.43,1006.29
19,6,14,2,171.98,343.96
20,6,19,4,371.89,1487.56
21,7,10,3,128.24,384.72
22,7,11,2,335.43,670.86
23,7,5,1,348.82,348.82
24,8,2,2,427.19,854.38
25,8,16,1,73.64,73.64
26,9,20,3,87.82,263.46
27,10,9,4,432.03,1728.12
28,10,6,5,106.23,531.15
29,10,17,3,222.56,667.68
30,10,3,5,387.65,1938.25
31,11,1,4,473.26,1893.04
32,12,20,5,87.82,439.1
33,12,19,2,371.89,743.78
34,12,20,3,87.82,263.46
35,13,19,1,371.89,371.89
36,13,2,3,427.19,1281.57
37,13,7,5,177.62,888.1
38,14,14,4,171.98,687.92
39,14,9,4,432.03,1728.12
40,15,3,1,387.65,387.65
41,15,6,4,106.23,424.92
42,15,3,3,387.65,1162.95
43,15,8,2,352.3,704.6
44,15,13,4,394.63,1578.52
45,16,19,4,371.89,1487.56
46,17,20,1,87.82,87.82
47,17,3,2,387.65,775.3
48,17,20,1,87.82,87.82
49,17,19,1,371.89,371.89
50,18,11,4,335.43,1341.72
51,18,18,4,173.97,695.88
52,18,3,1,387.65,387.65
53,18,16,5,73.64,368.2
54,18,3,3,387.65,1162.95
55,19,16,4,73.64,294.56
56,19,17,2,222.56,445.12
57,20,16,3,73.64,220.92
58,20,5,2,348.82,697.64
59,20,15,2,35.19,70.38
60,20,1,5,473.26,2366.3
61,21,19,1,371.89,371.89
62,21,16,3,73.64,220.92
63,21,10,5,128.24,641.2
64,22,14,5,171.98,859.9
65,22,2,5,427.19,2135.95
66,22,18,4,173.97,695.88
67,22,20,5,87.82,439.1
68,23,4,1,99.95,99.95
69,23,9,5,432.03,2160.15
70,23,7,2,177.62,355.24
71,24,19,2,371.89,743.78
72,25,14,3,171.98,515.94
73,26,14,4,171.98,687.92
74,26,11,4,335.43,1341.72
75,26,20,1,87.82,87.82
76,26,9,4,432.03,1728.12
77,27,17,3,222.56,667.68
78,28,5,4,348.82,1395.28
79,28,13,3,394.63,1183.89
80,28,5,4,348.82,1395.28
81,28,13,2,394.63,789.26
82,28,3,1,387.65,387.65
83,29,15,3,35.19,105.57
84,29,6,1,106.23,106.23
85,29,4,1,99.95,99.95
86,29,5,2,348.82,697.64
87,30,4,5,99.95,499.75
88,31,19,5,371.89,1859.45
89,31,20,3,87.82,263.46
90,31,9,4,432.03,1728.12
91,31,19,1,371.89,371.89
92,31,19,3,371.89,1115.67
93,32,7,5,177.62,888.1
94,32,8,4,352.3,1409.2
95,32,19,1,371.89,371.89
96,32,8,3,352.3,1056.9
97,32,4,4,99.95,399.8
98,33,15,3,35.19,105.57
99,33,13,5,394.63,1973.15
100,33,14,5,171.98,859.9
101,33,9,5,432.03,2160.15
102,33,19,2,371.89,743.78
103,34,11,4,335.43,1341.72
104,34,19,5,371.89,1859.45
105,34,20,5,87.82,439.1
106,34,8,3,352.3,1056.9
107,34,11,3,335.43,1006.29
108,35,6,3,106.23,318.69
109,35,8,3,352.3,1056.9
110,36,16,4,73.64,294.56
111,36,5,2,348.82,697.64
112,36,17,2,222.56,445.12
113,36,6,1,106.23,106.23
114,37,5,3,348.82,1046.46
115,37,20,5,87.82,439.1
116,37,10,1,128.24,128.24
117,37,4,4,99.95,399.8
118,37,6,2,106.23,212.46
119,38,20,4,87.82,351.28
120,38,9,5,432.03,2160.15
121,38,1,4,473.26,1893.04
122,39,8,1,352.3,352.3
123,39,4,4,99.95,399.8
124,40,12,2,317.66,635.32
125,40,14,1,171.98,171.98
126,40,1,1,473.26,473.26
127,41,5,1,348.82,348.82
128,41,16,1,73.64,73.64
129,41,20,5,87.82,439.1
130,41,5,4,348.82,1395.28
131,41,4,2,99.95,199.9
132,42,8,3,352.3,1056.9
133,42,3,5,387.65,1938.25
134,43,3,1,387.65,387.65
135,43,7,3,177.62,532.86
136,44,9,4,432.03,1728.12
137,45,20,4,87.82,351.28
138,45,10,5,128.24,641.2
139,45,4,3,99.95,299.85
140,45,17,2,222.56,445.12
141,46,20,1,87.82,87.82
142,46,9,2,432.03,864.06
143,46,5,3,348.82,1046.46
144,47,9,3,432.03,1296.09
145,47,15,4,35.19,140.76
146,48,7,3,177.62,532.86
147,48,3,4,387.65,1550.6
148,48,5,4,348.82,1395.28
149,48,7,1,177.62,177.62
150,48,1,2,473.26,946.52
151,49,14,2,171.98,343.96
152,49,1,4,473.26,1893.04
153,49,6,3,106.23,318.69
154,49,14,5,171.98,859.9
155,50,5,1,348.82,348.82
156,50,13,1,394.63,394.63
157,50,4,2,99.95,199.9
158,50,14,4,171.98,687.92
159,51,19,3,371.89,1115.67
160,51,4,4,99.95,399.8
161,51,11,4,335.43,1341.72
162,52,16,5,73.64,368.2
163,52,18,1,173.97,173.97
164,53,17,5,222.56,1112.8
165,53,7,2,177.62,355.24
166,53,9,1,432.03,432.03
167,53,1,2,473.26,946.52
168,53,2,4,427.19,1708.76
169,54,10,4,128.24,512.96
170,54,15,5,35.19,175.95
171,54,17,1,222.56,222.56
172,55,20,4,87.82,351.28
173,55,20,1,87.82,87.82
174,55,14,2,171.98,343.96
175,55,15,2,35.19,70.38
176,56,15,5,35.19,175.95
177,56,4,2,99.95,199.9
178,56,2,5,427.19,2135.95
179,56,20,5,87.82,439.1
180,57,3,3,387.65,1162.95
181,57,6,4,106.23,424.92
182,57,3,2,387.65,775.3
183,57,3,5,387.65,1938.25
184,58,17,4,222.56,890.24
185,58,16,4,73.64,294.56
186,58,18,2,173.97,347.94
187,59,13,3,394.63,1183.89
188,60,16,2,73.64,147.28
189,61,3,3,387.65,1162.95
190,61,10,3,128.24,384.72
191,62,17,1,222.56,222.56
192,63,13,1,394.63,394.63
193,63,13,3,394.63,1183.89
194,63,13,3,394.63,1183.89
195,63,12,2,317.66,635.32
